url,image,title,price
https://ferebe.com/collections/beauty/products/pure-brazilian-anti-frizz-shampoo-1l,/ferebe.com/cdn/shop/files/pure_brazilian_anti-frizz_shampoo_540x_ca789718-01dc-4780-8ba0-1935f27f2dbe_200x.webp?v=1686235273 ,Pure Brazilian Anti Frizz Shampoo 33.8oz/1L,$30.99 
https://ferebe.com/collections/beauty/products/wet-brush-pro-flex-dry-pink,ferebe.com/cdn/shop/products/25645480309_XL_200x.jpg?v=1677864975 ,Wet Brush Pro Flex Dry Pink,$3.99 
https://ferebe.com/collections/beauty/products/olivia-garden-nanothermic-ceramic-ion-square-shaper-brush-nt-s40,/ferebe.com/cdn/shop/products/square-shaper-2-nt-s50-olivia-garden-nanothermic-square-thermal-24969191456949_200x.jpg?v=1676046459 ,"Olivia Garden NanoThermic Ceramic + Ion Square Shaper Brush 1 1/2"" NT-S40",$6.99 
https://ferebe.com/collections/beauty/products/schwarzkopf-got2b-extra-glued-styling-gel-for-edges,ferebe.com/cdn/shop/products/Untitleddesign-2022-12-08T150039.589-468378_200x.png?v=1670573466 ,Schwarzkopf Got2b Ultra Glued Styling Gel For Edges 150ml,$10.99 
https://ferebe.com/collections/beauty/products/chi-infra-treatment-32oz,ferebe.com/cdn/shop/products/Untitleddesign-2022-11-18T111517.594-673480_200x.png?v=1668799418 ,CHI Infra Treatment Thermal Protecting 32oz,$9.99 
https://ferebe.com/collections/beauty/products/milk-shake-moisture-plus-shampoo-for-dry-hair-300ml,/ferebe.com/cdn/shop/products/51eo7cRzzUL._SL1500_a055bac4-d153-4868-9d53-b3531165aedc_200x.jpg?v=1655912535 ,Milk Shake Moisture Plus Shampoo For Dry Hair 10.1oz/300ml,$14.99 
https://ferebe.com/collections/beauty/products/surya-brasil-henna-cream-hair-color-mahogany-2-37-oz,ferebe.com/cdn/shop/products/yhst-88462588038071_2616_5604510667-617348_200x.png?v=1652489669 ,Surya Brasil Henna Cream Hair Color Mahogany 2.37 oz,$13.99 
https://ferebe.com/collections/beauty/products/fanola-no-yellow-mask-100ml-pack-of-2,ferebe.com/cdn/shop/products/Untitleddesign_26_e6a00044-5478-4d99-892d-8a5be0ed60f5-787616_200x.png?v=1647384134 ,Fanola No Yellow Mask 3.38oz - Pack of 2,$8.99 
https://ferebe.com/collections/beauty/products/shea-moisture-jamaican-black-castor-oil-strengthen-restore-smoothie-12-fl-oz,ferebe.com/cdn/shop/products/764302215851_image1-188581_200x.jpg?v=1647385178 ,Shea Moisture Jamaican Black Castor Oil Strengthen & Restore Smoothie 12oz,$5.99 
https://ferebe.com/collections/beauty/products/suavecito-hair-cream-8oz-237ml,/ferebe.com/cdn/shop/files/51OXk4sDJgL._SL1000_200x.jpg?v=1684948240 ,Suavecito Hair Cream 8oz/237ml,$5.99 
