Title,Url,Image,Price
Nina Girl's Diana Navy Floral,https://tiptopshoes.com/collections/girls/products/nina-girls-diana-navy-floral,https://cdn.shopify.com/s/files/1/1974/6675/products/nina-girls-diana-navy-floral-1077785-tip-top-shoes-of-new-york-979973_600x600.jpg?v=1692395796,$65.00
Nina Girl's Michaela Silver Shimmer,https://tiptopshoes.com/collections/girls/products/nina-girls-michaela-silver-shimmer,https://cdn.shopify.com/s/files/1/1974/6675/products/nina-girls-michaela-silver-shimmer-1077758-tip-top-shoes-of-new-york-365163_600x600.jpg?v=1690836376,$59.95
UGG Girl's Sunburst Tall Grey,https://tiptopshoes.com/collections/girls/products/568921,https://cdn.shopify.com/s/files/1/1974/6675/products/ugg-girls-sunburst-tall-grey-1077480-tip-top-shoes-of-new-york-759562_600x600.jpg?v=1696932004,$189.95
UGG Girl's Classic Lilac Mauve,https://tiptopshoes.com/collections/girls/products/ugg-girls-classic-lilac-mauve,https://cdn.shopify.com/s/files/1/1974/6675/products/ugg-girls-classic-lilac-mauve-1077424-tip-top-shoes-of-new-york-949585_600x600.jpg?v=1695806242,$139.95
Geox Girl's (Sizes 28-33) Kalispera Pink Shimmer Mid Top,https://tiptopshoes.com/collections/girls/products/geox-girls-sizes-28-33-kalispera-pink-shimmer-mid-top,https://cdn.shopify.com/s/files/1/1974/6675/products/geox-girls-sizes-28-33-kalispera-pink-shimmer-mid-top-1077044-tip-top-shoes-of-new-york-757164_600x600.jpg?v=1692395111,$89.95
Naturino Girl's (Sizes 27-32) Hess Multi Glitz Pink Hi,https://tiptopshoes.com/collections/girls/products/naturino-girls-sizes-27-32-hess-multi-glitz-pink-hi,https://cdn.shopify.com/s/files/1/1974/6675/products/naturino-girls-sizes-27-32-hess-multi-glitz-pink-hi-1076125-tip-top-shoes-of-new-york-847860_600x600.jpg?v=1695805413,$60.00
Sorel Girl's Whitney Twilight Waterproof,https://tiptopshoes.com/collections/girls/products/sorel-girls-whitney-twilight-waterproof,https://cdn.shopify.com/s/files/1/1974/6675/products/sorel-girls-whitney-twilight-waterproof-1075246-tip-top-shoes-of-new-york-272989_600x600.jpg?v=1690490655,$79.95
Hunter Kid's Play Boot Black Waterproof,https://tiptopshoes.com/collections/girls/products/hunter-kids-play-boot-black-waterproof,https://cdn.shopify.com/s/files/1/1974/6675/products/hunter-kids-play-boot-black-waterproof-1074779-tip-top-shoes-of-new-york-236463_600x600.jpg?v=1669224295,$85.00
Old Soles Girl's All In High Top Pink,https://tiptopshoes.com/collections/girls/products/old-soles-girls-all-in-high-top-pink,https://cdn.shopify.com/s/files/1/1974/6675/products/old-soles-girls-all-in-high-top-pink-1074577-tip-top-shoes-of-new-york-459288_600x600.jpg?v=1676202149,$79.95
Naturino Girl's (Sizes 27-32) Varna Silver Flash Waterproof,https://tiptopshoes.com/collections/girls/products/naturino-girls-sizes-27-32-varna-silver-flash-waterproof,https://cdn.shopify.com/s/files/1/1974/6675/products/naturino-girls-sizes-27-32-varna-silver-flash-waterproof-1067718-363426_600x600.jpg?v=1663865958,$79.95
