Url,Image,Title,Price
https://ferebe.com/collections/beauty/products/dhc-lip-cream-ultra-moisturizing-soothing-lip-balm-05-oz,ferebe.com/cdn/shop/products/dhc_lip_cream_hb_13-924937_200x.png?v=1647383874 ,DHC Lip Cream Ultra-Moisturizing & Soothing Lip Balm .05 oz,$9.99 
https://ferebe.com/collections/beauty/products/revlon-one-step-root-booster-round-brush-dryer-styler,/ferebe.com/cdn/shop/files/evf_200x.jpg?v=1689615376 ,"Revlon One Step Root Booster Round Brush Dryer and Hair Styler, Fight Frizz and Add Volume, (1-1/2 in)",$29.99 
https://ferebe.com/collections/beauty/products/olivia-garden-ceramic-ion-tourmaline-brush-ci-80,/ferebe.com/cdn/shop/products/s-l1600_6_6d4bbb3a-47c8-4b30-ba51-8a0286406505-519056_200x.jpg?v=1647384923 ,"Olivia Garden Ceramic + Ion Tourmaline Brush 4 1/4"" CI-80",$11.99 
https://ferebe.com/collections/beauty/products/lanza-healing-volume-thickening-shampoo-10-1oz-300ml,/ferebe.com/cdn/shop/products/Untitleddesign_24_d44e274a-afb9-461c-914d-ec0c46c99015-665288_200x.png?v=1647384698 ,Lanza Healing Volume Thickening Shampoo 10.1oz/300ml,$9.99 
https://ferebe.com/collections/beauty/products/truss-blond-shampoo-10-14-oz,ferebe.com/cdn/shop/products/PeachandGrayWatercolorBackgroundInstagramPost_32-557359_200x.png?v=1658418302 ,Truss- Blond Shampoo 10.14 Oz,$10.99 
https://ferebe.com/collections/beauty/products/nioxin-system-6-duo-cleanser-shampoo-scalp-therapy-conditioner-10-1-oz,ferebe.com/cdn/shop/products/766ada93-741a-46e4-bbd0-07b02d6b9ef8.0e92b44ac71d8348ceee492af840bb85-219114_200x.jpg?v=1647384866 ,Nioxin System 6 Cleanser Shampoo & Scalp Therapy Conditioner 10.1oz,$13.99 
https://ferebe.com/collections/beauty/products/r-co-waterfall-moisture-shine-lotion-147-ml-5-0-fl-oz,/ferebe.com/cdn/shop/products/randco_waterfall_travel_pdp-838355_200x.png?v=1647385076 ,R+Co Waterfall Moisture + Shine Lotion 147 Ml/5.0 Fl oz,$26.99 
https://ferebe.com/collections/beauty/products/nioxin-system-1-scalp-revitaliser-1000ml,/ferebe.com/cdn/shop/products/Nio-System-5-Scalp-Therapy-Conditioner-33-8-oz-01-420Wx420H-688223_200x.jpg?v=1647384893 ,Nioxin System 5 Scalp Therapy Conditioner 33.8oz/1000ml,$15.99 
https://ferebe.com/collections/beauty/products/loreal-serie-expert-blonde-bestie-spray-150ml-5-1oz,/ferebe.com/cdn/shop/products/s-l1600_5_5401d269-6a1b-4453-a069-082568305691_200x.jpg?v=1634737852 ,L'oreal Serie Expert Blondifier Blonde Bestie Spray 5.1oz/150ml,$2.99 
https://ferebe.com/collections/beauty/products/batiste-dry-shampoo-cherry-fragrance-6-73-fl-oz,ferebe.com/cdn/shop/products/710ppyE6TCL._SL1500_200x.jpg?v=1603314285 ,"Batiste Dry Shampoo, Cherry Fragrance, 6.73 fl. oz.",$4.99 
https://ferebe.com/collections/beauty/products/wella-sp-luxe-oil-keratin-conditioning-cream-1000ml-33-8oz,/ferebe.com/cdn/shop/products/5cf2caa76a7acb0205be7839842ca007_0_jpg-525838_200x.jpg?v=1647385491 ,Wella SP Luxe Oil Keratin Conditioning Cream 1000ml/33.8oz,$33.99 
https://ferebe.com/collections/beauty/products/regenerating-mask-with-rare-prickly-pear-seed-oil-250-ml-by-christophe-robin,ferebe.com/cdn/shop/products/cr-929850_200x.png?v=1647383808 ,Christophe Robin Regenerating Mask With Rare Prickly Pear Seed Oil 250ml,$39.99 
